dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P0-none,12000,11814,0.998,0.9996,0
sift,0.5,P0-none,14000,13606,0.9985,0.9997,0
sift,0.5,P0-none,16000,15400,0.9985,0.9992,0
sift,0.5,P0-none,18000,17190,0.999,0.9992,0
sift,0.5,P0-none,20000,19002,0.9985,0.9989,0
sift,0.5,P0-none,22000,20818,0.999,0.999,0
sift,0.5,P0-none,24000,22624,0.9985,0.9988,0
sift,0.5,P0-none,26000,24450,0.998,0.9988,0
sift,0.5,P0-none,28000,26218,0.999,0.9987,0
sift,0.5,P0-none,30000,28046,0.999,0.9987,0
sift,0.5,P0-none,32000,26394,0.9985,0.9988,0
sift,0.5,P0-none,34000,24812,0.9975,0.9988,0
sift,0.5,P0-none,36000,23196,0.998,0.9985,0
sift,0.5,P0-none,38000,21586,0.9975,0.9986,0
sift,0.5,P0-none,40000,20022,0.997,0.9991,0
sift,0.5,P0-none,42000,18366,0.9975,0.999,0
sift,0.5,P0-none,44000,16742,0.998,0.9989,0
sift,0.5,P0-none,46000,15150,0.9975,0.9987,0
sift,0.5,P0-none,48000,13538,0.997,0.9986,0
sift,0.5,P0-none,50000,11970,0.9975,0.9976,0
sift,0.5,P0-none,52000,13760,0.9975,0.9976,0
sift,0.5,P0-none,54000,15570,0.9975,0.9977,0
sift,0.5,P0-none,56000,17372,0.998,0.9976,0
sift,0.5,P0-none,58000,19166,0.9975,0.9975,0
sift,0.5,P0-none,60000,20976,0.997,0.9971,0
sift,0.5,P0-none,62000,22768,0.997,0.9972,0
sift,0.5,P0-none,64000,24602,0.997,0.9974,0
sift,0.5,P0-none,66000,26408,0.9965,0.9976,0
sift,0.5,P0-none,68000,28226,0.999,0.9978,0
sift,0.5,P0-none,70000,30034,0.9985,0.9974,0
sift,0.5,P0-none,72000,28444,0.9985,0.9972,0
sift,0.5,P0-none,74000,26842,0.998,0.9971,0
sift,0.5,P0-none,76000,25246,0.9985,0.9972,0
sift,0.5,P0-none,78000,23634,0.998,0.997,0
sift,0.5,P0-none,80000,22034,0.9985,0.9969,0
sift,0.5,P0-none,82000,20436,0.9975,0.9965,0
sift,0.5,P0-none,84000,18816,0.9985,0.9965,0
sift,0.5,P0-none,86000,17252,0.997,0.9954,0
sift,0.5,P0-none,88000,15606,0.9965,0.9949,0
sift,0.5,P0-none,90000,13984,0.995,0.9928,0
sift,0.5,P0-none,92000,15770,0.995,0.9948,0
sift,0.5,P0-none,94000,17572,0.993,0.9949,0
sift,0.5,P0-none,96000,19394,0.9925,0.9951,0
sift,0.5,P0-none,98000,21204,0.9965,0.9956,0
sift,0.5,P0-none,100000,20000,0.995,0.9951,0
sift,0.5,P0-none,102000,18000,0.9955,0.9946,0
sift,0.5,P0-none,104000,16000,0.994,0.9932,0
sift,0.5,P0-none,106000,14000,0.9935,0.9885,0
sift,0.5,P0-none,108000,12000,0.9935,0.9721,0
sift,0.5,P0-none,110000,10000,0.99,0.9255,0
sift,0.5,P1-fixed@25000,12000,11814,0.998,0.9996,0
sift,0.5,P1-fixed@25000,14000,13606,0.9985,0.9997,0
sift,0.5,P1-fixed@25000,16000,15400,0.9985,0.9992,0
sift,0.5,P1-fixed@25000,18000,17190,0.999,0.9992,0
sift,0.5,P1-fixed@25000,20000,19002,0.9985,0.9989,0
sift,0.5,P1-fixed@25000,22000,20818,0.999,0.999,0
sift,0.5,P1-fixed@25000,24000,22624,0.9985,0.9988,0
sift,0.5,P1-fixed@25000,26000,24450,0.998,0.9988,1
sift,0.5,P1-fixed@25000,28000,26218,0.999,0.9985,0
sift,0.5,P1-fixed@25000,30000,28046,0.9995,0.9985,0
sift,0.5,P1-fixed@25000,32000,26394,0.999,0.9987,0
sift,0.5,P1-fixed@25000,34000,24812,0.9985,0.9989,0
sift,0.5,P1-fixed@25000,36000,23196,0.9985,0.9986,0
sift,0.5,P1-fixed@25000,38000,21586,0.9985,0.9987,0
sift,0.5,P1-fixed@25000,40000,20022,0.998,0.9991,0
sift,0.5,P1-fixed@25000,42000,18366,0.998,0.999,0
sift,0.5,P1-fixed@25000,44000,16742,0.998,0.9987,0
sift,0.5,P1-fixed@25000,46000,15150,0.998,0.9986,0
sift,0.5,P1-fixed@25000,48000,13538,0.9975,0.9983,0
sift,0.5,P1-fixed@25000,50000,11970,0.997,0.9975,0
sift,0.5,P1-fixed@25000,52000,13760,0.997,0.9977,1
sift,0.5,P1-fixed@25000,54000,15570,0.996,0.9984,0
sift,0.5,P1-fixed@25000,56000,17372,0.998,0.9981,0
sift,0.5,P1-fixed@25000,58000,19166,0.9975,0.9982,0
sift,0.5,P1-fixed@25000,60000,20976,0.998,0.9983,0
sift,0.5,P1-fixed@25000,62000,22768,0.997,0.9982,0
sift,0.5,P1-fixed@25000,64000,24602,0.9985,0.9981,0
sift,0.5,P1-fixed@25000,66000,26408,0.998,0.9977,0
sift,0.5,P1-fixed@25000,68000,28226,0.999,0.9973,0
sift,0.5,P1-fixed@25000,70000,30034,0.9995,0.9975,0
sift,0.5,P1-fixed@25000,72000,28444,0.9995,0.9975,0
sift,0.5,P1-fixed@25000,74000,26842,0.9995,0.9975,0
sift,0.5,P1-fixed@25000,76000,25246,0.9995,0.9976,0
sift,0.5,P1-fixed@25000,78000,23634,0.999,0.9975,1
sift,0.5,P1-fixed@25000,80000,22034,0.9985,0.9982,0
sift,0.5,P1-fixed@25000,82000,20436,0.9985,0.9983,0
sift,0.5,P1-fixed@25000,84000,18816,0.999,0.9982,0
sift,0.5,P1-fixed@25000,86000,17252,0.9985,0.998,0
sift,0.5,P1-fixed@25000,88000,15606,0.9995,0.9983,0
sift,0.5,P1-fixed@25000,90000,13984,0.9985,0.9983,0
sift,0.5,P1-fixed@25000,92000,15770,0.9985,0.998,0
sift,0.5,P1-fixed@25000,94000,17572,0.997,0.9981,0
sift,0.5,P1-fixed@25000,96000,19394,0.9975,0.9983,0
sift,0.5,P1-fixed@25000,98000,21204,0.9985,0.9981,0
sift,0.5,P1-fixed@25000,100000,20000,0.9985,0.9976,0
sift,0.5,P1-fixed@25000,102000,18000,0.9985,0.997,0
sift,0.5,P1-fixed@25000,104000,16000,0.997,0.9969,1
sift,0.5,P1-fixed@25000,106000,14000,0.9985,0.9985,0
sift,0.5,P1-fixed@25000,108000,12000,0.998,0.9986,0
sift,0.5,P1-fixed@25000,110000,10000,0.998,0.9985,0
sift,0.5,P1-fixed@10000,12000,11814,0.998,0.9996,1
sift,0.5,P1-fixed@10000,14000,13606,0.9985,0.9997,0
sift,0.5,P1-fixed@10000,16000,15400,0.998,0.9993,0
sift,0.5,P1-fixed@10000,18000,17190,0.9995,0.9993,0
sift,0.5,P1-fixed@10000,20000,19002,0.999,0.999,0
sift,0.5,P1-fixed@10000,22000,20818,0.9995,0.9991,1
sift,0.5,P1-fixed@10000,24000,22624,0.9985,0.9986,0
sift,0.5,P1-fixed@10000,26000,24450,0.998,0.9987,0
sift,0.5,P1-fixed@10000,28000,26218,0.999,0.9985,0
sift,0.5,P1-fixed@10000,30000,28046,0.9995,0.9986,0
sift,0.5,P1-fixed@10000,32000,26394,0.999,0.9987,1
sift,0.5,P1-fixed@10000,34000,24812,0.9975,0.9985,0
sift,0.5,P1-fixed@10000,36000,23196,0.998,0.9981,0
sift,0.5,P1-fixed@10000,38000,21586,0.998,0.9982,0
sift,0.5,P1-fixed@10000,40000,20022,0.9975,0.9985,0
sift,0.5,P1-fixed@10000,42000,18366,0.998,0.9983,1
sift,0.5,P1-fixed@10000,44000,16742,0.997,0.9985,0
sift,0.5,P1-fixed@10000,46000,15150,0.9985,0.9984,0
sift,0.5,P1-fixed@10000,48000,13538,0.997,0.9986,0
sift,0.5,P1-fixed@10000,50000,11970,0.996,0.9983,0
sift,0.5,P1-fixed@10000,52000,13760,0.9965,0.9984,1
sift,0.5,P1-fixed@10000,54000,15570,0.9975,0.999,0
sift,0.5,P1-fixed@10000,56000,17372,0.9975,0.9986,0
sift,0.5,P1-fixed@10000,58000,19166,0.9975,0.9987,0
sift,0.5,P1-fixed@10000,60000,20976,0.9985,0.9984,0
sift,0.5,P1-fixed@10000,62000,22768,0.9985,0.9986,1
sift,0.5,P1-fixed@10000,64000,24602,0.999,0.9987,0
sift,0.5,P1-fixed@10000,66000,26408,0.9985,0.9983,0
sift,0.5,P1-fixed@10000,68000,28226,0.999,0.9982,0
sift,0.5,P1-fixed@10000,70000,30034,0.9995,0.9983,0
sift,0.5,P1-fixed@10000,72000,28444,0.9995,0.9983,1
sift,0.5,P1-fixed@10000,74000,26842,0.9995,0.9978,0
sift,0.5,P1-fixed@10000,76000,25246,0.999,0.9978,0
sift,0.5,P1-fixed@10000,78000,23634,0.999,0.9979,0
sift,0.5,P1-fixed@10000,80000,22034,0.9985,0.9982,0
sift,0.5,P1-fixed@10000,82000,20436,0.998,0.9979,1
sift,0.5,P1-fixed@10000,84000,18816,1.0,0.9987,0
sift,0.5,P1-fixed@10000,86000,17252,0.9995,0.9983,0
sift,0.5,P1-fixed@10000,88000,15606,0.9995,0.9988,0
sift,0.5,P1-fixed@10000,90000,13984,0.999,0.9983,0
sift,0.5,P1-fixed@10000,92000,15770,0.999,0.9981,1
sift,0.5,P1-fixed@10000,94000,17572,0.9995,0.9995,0
sift,0.5,P1-fixed@10000,96000,19394,0.9995,0.9991,0
sift,0.5,P1-fixed@10000,98000,21204,0.999,0.9992,0
sift,0.5,P1-fixed@10000,100000,20000,0.999,0.9992,0
sift,0.5,P1-fixed@10000,102000,18000,0.999,0.9993,1
sift,0.5,P1-fixed@10000,104000,16000,0.999,0.9991,0
sift,0.5,P1-fixed@10000,106000,14000,0.9985,0.9991,0
sift,0.5,P1-fixed@10000,108000,12000,0.9985,0.9989,0
sift,0.5,P1-fixed@10000,110000,10000,0.9985,0.9988,0
sift,0.5,P1-fixed@5000,12000,11814,0.998,0.9996,1
sift,0.5,P1-fixed@5000,14000,13606,0.9985,0.9997,0
sift,0.5,P1-fixed@5000,16000,15400,0.998,0.9993,0
sift,0.5,P1-fixed@5000,18000,17190,0.9995,0.9993,1
sift,0.5,P1-fixed@5000,20000,19002,0.999,0.9992,0
sift,0.5,P1-fixed@5000,22000,20818,0.9995,0.9992,0
sift,0.5,P1-fixed@5000,24000,22624,0.9985,0.9988,1
sift,0.5,P1-fixed@5000,26000,24450,0.998,0.9986,0
sift,0.5,P1-fixed@5000,28000,26218,0.999,0.9984,0
sift,0.5,P1-fixed@5000,30000,28046,0.9995,0.9984,1
sift,0.5,P1-fixed@5000,32000,26394,0.999,0.9985,0
sift,0.5,P1-fixed@5000,34000,24812,0.9985,0.9986,0
sift,0.5,P1-fixed@5000,36000,23196,0.999,0.9983,1
sift,0.5,P1-fixed@5000,38000,21586,0.9985,0.9984,0
sift,0.5,P1-fixed@5000,40000,20022,0.9975,0.9988,0
sift,0.5,P1-fixed@5000,42000,18366,0.998,0.9984,1
sift,0.5,P1-fixed@5000,44000,16742,0.997,0.9984,0
sift,0.5,P1-fixed@5000,46000,15150,0.997,0.9984,0
sift,0.5,P1-fixed@5000,48000,13538,0.997,0.9985,1
sift,0.5,P1-fixed@5000,50000,11970,0.999,0.9988,0
sift,0.5,P1-fixed@5000,52000,13760,0.999,0.999,0
sift,0.5,P1-fixed@5000,54000,15570,0.998,0.9988,1
sift,0.5,P1-fixed@5000,56000,17372,0.9985,0.9982,0
sift,0.5,P1-fixed@5000,58000,19166,0.997,0.9988,0
sift,0.5,P1-fixed@5000,60000,20976,0.999,0.9984,1
sift,0.5,P1-fixed@5000,62000,22768,0.999,0.9988,0
sift,0.5,P1-fixed@5000,64000,24602,0.999,0.9984,0
sift,0.5,P1-fixed@5000,66000,26408,0.9985,0.9981,1
sift,0.5,P1-fixed@5000,68000,28226,0.9995,0.9981,0
sift,0.5,P1-fixed@5000,70000,30034,0.999,0.998,0
sift,0.5,P1-fixed@5000,72000,28444,0.999,0.998,1
sift,0.5,P1-fixed@5000,74000,26842,0.9995,0.9978,0
sift,0.5,P1-fixed@5000,76000,25246,0.9995,0.9976,0
sift,0.5,P1-fixed@5000,78000,23634,0.999,0.9977,1
sift,0.5,P1-fixed@5000,80000,22034,0.999,0.9986,0
sift,0.5,P1-fixed@5000,82000,20436,0.9985,0.9985,0
sift,0.5,P1-fixed@5000,84000,18816,0.999,0.9985,1
sift,0.5,P1-fixed@5000,86000,17252,0.999,0.999,0
sift,0.5,P1-fixed@5000,88000,15606,0.999,0.9991,0
sift,0.5,P1-fixed@5000,90000,13984,0.9975,0.9989,1
sift,0.5,P1-fixed@5000,92000,15770,0.9985,0.9988,0
sift,0.5,P1-fixed@5000,94000,17572,0.999,0.9989,0
sift,0.5,P1-fixed@5000,96000,19394,0.9985,0.9991,1
sift,0.5,P1-fixed@5000,98000,21204,0.999,0.9988,0
sift,0.5,P1-fixed@5000,100000,20000,0.999,0.9989,0
sift,0.5,P1-fixed@5000,102000,18000,0.999,0.9988,1
sift,0.5,P1-fixed@5000,104000,16000,0.9995,0.9983,0
sift,0.5,P1-fixed@5000,106000,14000,0.999,0.9981,0
sift,0.5,P1-fixed@5000,108000,12000,0.9985,0.9984,1
sift,0.5,P1-fixed@5000,110000,10000,0.9985,0.9988,0
sift,0.5,P1-fixed@2500,12000,11814,0.998,0.9996,1
sift,0.5,P1-fixed@2500,14000,13606,0.9985,0.9997,0
sift,0.5,P1-fixed@2500,16000,15400,0.998,0.9993,1
sift,0.5,P1-fixed@2500,18000,17190,0.9995,0.9992,0
sift,0.5,P1-fixed@2500,20000,19002,0.999,0.9988,1
sift,0.5,P1-fixed@2500,22000,20818,0.9995,0.999,0
sift,0.5,P1-fixed@2500,24000,22624,0.9985,0.9985,1
sift,0.5,P1-fixed@2500,26000,24450,0.998,0.9986,0
sift,0.5,P1-fixed@2500,28000,26218,0.999,0.9984,1
sift,0.5,P1-fixed@2500,30000,28046,1.0,0.9982,0
sift,0.5,P1-fixed@2500,32000,26394,0.9995,0.9985,1
sift,0.5,P1-fixed@2500,34000,24812,0.998,0.9983,0
sift,0.5,P1-fixed@2500,36000,23196,0.998,0.9979,1
sift,0.5,P1-fixed@2500,38000,21586,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,40000,20022,0.998,0.9987,1
sift,0.5,P1-fixed@2500,42000,18366,0.9985,0.9982,0
sift,0.5,P1-fixed@2500,44000,16742,0.9985,0.9979,1
sift,0.5,P1-fixed@2500,46000,15150,0.9975,0.9983,0
sift,0.5,P1-fixed@2500,48000,13538,0.996,0.9985,1
sift,0.5,P1-fixed@2500,50000,11970,0.9985,0.9986,0
sift,0.5,P1-fixed@2500,52000,13760,0.998,0.9988,1
sift,0.5,P1-fixed@2500,54000,15570,0.997,0.999,0
sift,0.5,P1-fixed@2500,56000,17372,0.998,0.9988,1
sift,0.5,P1-fixed@2500,58000,19166,0.9975,0.999,0
sift,0.5,P1-fixed@2500,60000,20976,0.998,0.9984,1
sift,0.5,P1-fixed@2500,62000,22768,0.999,0.9987,0
sift,0.5,P1-fixed@2500,64000,24602,0.999,0.9988,1
sift,0.5,P1-fixed@2500,66000,26408,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,68000,28226,0.9995,0.9985,1
sift,0.5,P1-fixed@2500,70000,30034,0.999,0.998,0
