dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P1-fixed@2500,72000,28444,0.999,0.998,1
sift,0.5,P1-fixed@2500,74000,26842,0.9995,0.9976,0
sift,0.5,P1-fixed@2500,76000,25246,0.9995,0.9975,1
sift,0.5,P1-fixed@2500,78000,23634,0.9995,0.9979,0
sift,0.5,P1-fixed@2500,80000,22034,0.9985,0.998,1
sift,0.5,P1-fixed@2500,82000,20436,0.9985,0.9989,0
sift,0.5,P1-fixed@2500,84000,18816,0.999,0.9988,1
sift,0.5,P1-fixed@2500,86000,17252,0.999,0.9989,0
sift,0.5,P1-fixed@2500,88000,15606,0.999,0.999,1
sift,0.5,P1-fixed@2500,90000,13984,0.999,0.999,0
sift,0.5,P1-fixed@2500,92000,15770,0.999,0.9986,1
sift,0.5,P1-fixed@2500,94000,17572,0.9995,0.9987,0
sift,0.5,P1-fixed@2500,96000,19394,0.999,0.9988,1
sift,0.5,P1-fixed@2500,98000,21204,0.9985,0.9985,0
sift,0.5,P1-fixed@2500,100000,20000,0.998,0.9982,1
sift,0.5,P1-fixed@2500,102000,18000,0.999,0.9988,0
sift,0.5,P1-fixed@2500,104000,16000,0.999,0.9987,1
sift,0.5,P1-fixed@2500,106000,14000,0.9985,0.9986,0
sift,0.5,P1-fixed@2500,108000,12000,0.998,0.9988,1
sift,0.5,P1-fixed@2500,110000,10000,0.9985,0.9994,0
sift,0.5,P2-signal@0.004,12000,11814,0.998,0.9996,0
sift,0.5,P2-signal@0.004,14000,13606,0.9985,0.9997,0
sift,0.5,P2-signal@0.004,16000,15400,0.9985,0.9992,0
sift,0.5,P2-signal@0.004,18000,17190,0.999,0.9992,0
sift,0.5,P2-signal@0.004,20000,19002,0.9985,0.9989,0
sift,0.5,P2-signal@0.004,22000,20818,0.999,0.999,0
sift,0.5,P2-signal@0.004,24000,22624,0.9985,0.9988,0
sift,0.5,P2-signal@0.004,26000,24450,0.998,0.9988,0
sift,0.5,P2-signal@0.004,28000,26218,0.999,0.9987,0
sift,0.5,P2-signal@0.004,30000,28046,0.999,0.9987,0
sift,0.5,P2-signal@0.004,32000,26394,0.9985,0.9988,0
sift,0.5,P2-signal@0.004,34000,24812,0.9975,0.9988,0
sift,0.5,P2-signal@0.004,36000,23196,0.998,0.9985,0
sift,0.5,P2-signal@0.004,38000,21586,0.9975,0.9986,0
sift,0.5,P2-signal@0.004,40000,20022,0.997,0.9991,0
sift,0.5,P2-signal@0.004,42000,18366,0.9975,0.999,0
sift,0.5,P2-signal@0.004,44000,16742,0.998,0.9989,0
sift,0.5,P2-signal@0.004,46000,15150,0.9975,0.9987,0
sift,0.5,P2-signal@0.004,48000,13538,0.997,0.9986,0
sift,0.5,P2-signal@0.004,50000,11970,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,52000,13760,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,54000,15570,0.9975,0.9977,0
sift,0.5,P2-signal@0.004,56000,17372,0.998,0.9976,0
sift,0.5,P2-signal@0.004,58000,19166,0.9975,0.9975,0
sift,0.5,P2-signal@0.004,60000,20976,0.997,0.9971,0
sift,0.5,P2-signal@0.004,62000,22768,0.997,0.9972,0
sift,0.5,P2-signal@0.004,64000,24602,0.997,0.9974,0
sift,0.5,P2-signal@0.004,66000,26408,0.9965,0.9976,0
sift,0.5,P2-signal@0.004,68000,28226,0.999,0.9978,0
sift,0.5,P2-signal@0.004,70000,30034,0.9985,0.9974,0
sift,0.5,P2-signal@0.004,72000,28444,0.9985,0.9972,0
sift,0.5,P2-signal@0.004,74000,26842,0.998,0.9971,0
sift,0.5,P2-signal@0.004,76000,25246,0.9985,0.9972,0
sift,0.5,P2-signal@0.004,78000,23634,0.998,0.997,0
sift,0.5,P2-signal@0.004,80000,22034,0.9985,0.9969,0
sift,0.5,P2-signal@0.004,82000,20436,0.9975,0.9965,0
sift,0.5,P2-signal@0.004,84000,18816,0.9985,0.9965,0
sift,0.5,P2-signal@0.004,86000,17252,0.997,0.9954,0
sift,0.5,P2-signal@0.004,88000,15606,0.996,0.9949,0
sift,0.5,P2-signal@0.004,90000,13984,0.9935,0.9928,1
sift,0.5,P2-signal@0.004,92000,15770,0.9965,0.998,0
sift,0.5,P2-signal@0.004,94000,17572,0.9955,0.9981,0
sift,0.5,P2-signal@0.004,96000,19394,0.995,0.9982,0
sift,0.5,P2-signal@0.004,98000,21204,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,100000,20000,0.9955,0.9977,0
sift,0.5,P2-signal@0.004,102000,18000,0.9965,0.9975,0
sift,0.5,P2-signal@0.004,104000,16000,0.9965,0.9971,0
sift,0.5,P2-signal@0.004,106000,14000,0.9965,0.9968,0
sift,0.5,P2-signal@0.004,108000,12000,0.9955,0.9971,0
sift,0.5,P2-signal@0.004,110000,10000,0.9965,0.9971,0
sift,0.5,P2-signal@0.008,12000,11814,0.998,0.9996,0
sift,0.5,P2-signal@0.008,14000,13606,0.9985,0.9997,0
sift,0.5,P2-signal@0.008,16000,15400,0.9985,0.9992,0
sift,0.5,P2-signal@0.008,18000,17190,0.999,0.9992,0
sift,0.5,P2-signal@0.008,20000,19002,0.9985,0.9989,0
sift,0.5,P2-signal@0.008,22000,20818,0.999,0.999,0
sift,0.5,P2-signal@0.008,24000,22624,0.9985,0.9988,0
sift,0.5,P2-signal@0.008,26000,24450,0.998,0.9988,0
sift,0.5,P2-signal@0.008,28000,26218,0.999,0.9987,0
sift,0.5,P2-signal@0.008,30000,28046,0.999,0.9987,0
sift,0.5,P2-signal@0.008,32000,26394,0.9985,0.9988,0
sift,0.5,P2-signal@0.008,34000,24812,0.9975,0.9988,0
sift,0.5,P2-signal@0.008,36000,23196,0.998,0.9985,0
sift,0.5,P2-signal@0.008,38000,21586,0.9975,0.9986,0
sift,0.5,P2-signal@0.008,40000,20022,0.997,0.9991,0
sift,0.5,P2-signal@0.008,42000,18366,0.9975,0.999,0
sift,0.5,P2-signal@0.008,44000,16742,0.998,0.9989,0
sift,0.5,P2-signal@0.008,46000,15150,0.9975,0.9987,0
sift,0.5,P2-signal@0.008,48000,13538,0.997,0.9986,0
sift,0.5,P2-signal@0.008,50000,11970,0.9975,0.9976,0
sift,0.5,P2-signal@0.008,52000,13760,0.9975,0.9976,0
sift,0.5,P2-signal@0.008,54000,15570,0.9975,0.9977,0
sift,0.5,P2-signal@0.008,56000,17372,0.998,0.9976,0
sift,0.5,P2-signal@0.008,58000,19166,0.9975,0.9975,0
sift,0.5,P2-signal@0.008,60000,20976,0.997,0.9971,0
sift,0.5,P2-signal@0.008,62000,22768,0.997,0.9972,0
sift,0.5,P2-signal@0.008,64000,24602,0.997,0.9974,0
sift,0.5,P2-signal@0.008,66000,26408,0.9965,0.9976,0
sift,0.5,P2-signal@0.008,68000,28226,0.999,0.9978,0
sift,0.5,P2-signal@0.008,70000,30034,0.9985,0.9974,0
sift,0.5,P2-signal@0.008,72000,28444,0.9985,0.9972,0
sift,0.5,P2-signal@0.008,74000,26842,0.998,0.9971,0
sift,0.5,P2-signal@0.008,76000,25246,0.9985,0.9972,0
sift,0.5,P2-signal@0.008,78000,23634,0.998,0.997,0
sift,0.5,P2-signal@0.008,80000,22034,0.9985,0.9969,0
sift,0.5,P2-signal@0.008,82000,20436,0.9975,0.9965,0
sift,0.5,P2-signal@0.008,84000,18816,0.9985,0.9965,0
sift,0.5,P2-signal@0.008,86000,17252,0.997,0.9954,0
sift,0.5,P2-signal@0.008,88000,15606,0.996,0.9949,0
sift,0.5,P2-signal@0.008,90000,13984,0.9935,0.9928,0
sift,0.5,P2-signal@0.008,92000,15770,0.9945,0.9948,0
sift,0.5,P2-signal@0.008,94000,17572,0.9925,0.9949,0
sift,0.5,P2-signal@0.008,96000,19394,0.9925,0.9951,0
sift,0.5,P2-signal@0.008,98000,21204,0.9965,0.9956,0
sift,0.5,P2-signal@0.008,100000,20000,0.995,0.9951,0
sift,0.5,P2-signal@0.008,102000,18000,0.9955,0.9946,0
sift,0.5,P2-signal@0.008,104000,16000,0.993,0.9932,0
sift,0.5,P2-signal@0.008,106000,14000,0.9845,0.9885,1
sift,0.5,P2-signal@0.008,108000,12000,0.995,0.9944,0
sift,0.5,P2-signal@0.008,110000,10000,0.994,0.9939,0
sift,0.5,P2-signal@0.015,12000,11814,0.998,0.9996,0
sift,0.5,P2-signal@0.015,14000,13606,0.9985,0.9997,0
sift,0.5,P2-signal@0.015,16000,15400,0.9985,0.9992,0
sift,0.5,P2-signal@0.015,18000,17190,0.999,0.9992,0
sift,0.5,P2-signal@0.015,20000,19002,0.9985,0.9989,0
sift,0.5,P2-signal@0.015,22000,20818,0.999,0.999,0
sift,0.5,P2-signal@0.015,24000,22624,0.9985,0.9988,0
sift,0.5,P2-signal@0.015,26000,24450,0.998,0.9988,0
sift,0.5,P2-signal@0.015,28000,26218,0.999,0.9987,0
sift,0.5,P2-signal@0.015,30000,28046,0.999,0.9987,0
sift,0.5,P2-signal@0.015,32000,26394,0.9985,0.9988,0
sift,0.5,P2-signal@0.015,34000,24812,0.9975,0.9988,0
sift,0.5,P2-signal@0.015,36000,23196,0.998,0.9985,0
sift,0.5,P2-signal@0.015,38000,21586,0.9975,0.9986,0
sift,0.5,P2-signal@0.015,40000,20022,0.997,0.9991,0
sift,0.5,P2-signal@0.015,42000,18366,0.9975,0.999,0
sift,0.5,P2-signal@0.015,44000,16742,0.998,0.9989,0
sift,0.5,P2-signal@0.015,46000,15150,0.9975,0.9987,0
sift,0.5,P2-signal@0.015,48000,13538,0.997,0.9986,0
sift,0.5,P2-signal@0.015,50000,11970,0.9975,0.9976,0
sift,0.5,P2-signal@0.015,52000,13760,0.9975,0.9976,0
sift,0.5,P2-signal@0.015,54000,15570,0.9975,0.9977,0
sift,0.5,P2-signal@0.015,56000,17372,0.998,0.9976,0
sift,0.5,P2-signal@0.015,58000,19166,0.9975,0.9975,0
sift,0.5,P2-signal@0.015,60000,20976,0.997,0.9971,0
sift,0.5,P2-signal@0.015,62000,22768,0.997,0.9972,0
sift,0.5,P2-signal@0.015,64000,24602,0.997,0.9974,0
sift,0.5,P2-signal@0.015,66000,26408,0.9965,0.9976,0
sift,0.5,P2-signal@0.015,68000,28226,0.999,0.9978,0
sift,0.5,P2-signal@0.015,70000,30034,0.9985,0.9974,0
sift,0.5,P2-signal@0.015,72000,28444,0.9985,0.9972,0
sift,0.5,P2-signal@0.015,74000,26842,0.998,0.9971,0
sift,0.5,P2-signal@0.015,76000,25246,0.9985,0.9972,0
sift,0.5,P2-signal@0.015,78000,23634,0.998,0.997,0
sift,0.5,P2-signal@0.015,80000,22034,0.9985,0.9969,0
sift,0.5,P2-signal@0.015,82000,20436,0.9975,0.9965,0
sift,0.5,P2-signal@0.015,84000,18816,0.9985,0.9965,0
sift,0.5,P2-signal@0.015,86000,17252,0.997,0.9954,0
sift,0.5,P2-signal@0.015,88000,15606,0.996,0.9949,0
sift,0.5,P2-signal@0.015,90000,13984,0.9935,0.9928,0
sift,0.5,P2-signal@0.015,92000,15770,0.9945,0.9948,0
sift,0.5,P2-signal@0.015,94000,17572,0.9925,0.9949,0
sift,0.5,P2-signal@0.015,96000,19394,0.9925,0.9951,0
sift,0.5,P2-signal@0.015,98000,21204,0.9965,0.9956,0
sift,0.5,P2-signal@0.015,100000,20000,0.995,0.9951,0
sift,0.5,P2-signal@0.015,102000,18000,0.9955,0.9946,0
sift,0.5,P2-signal@0.015,104000,16000,0.993,0.9932,0
sift,0.5,P2-signal@0.015,106000,14000,0.9845,0.9885,0
sift,0.5,P2-signal@0.015,108000,12000,0.9685,0.9721,1
sift,0.5,P2-signal@0.015,110000,10000,0.9955,0.9938,0
sift,0.5,P2-signal@0.030,12000,11814,0.998,0.9996,0
sift,0.5,P2-signal@0.030,14000,13606,0.9985,0.9997,0
sift,0.5,P2-signal@0.030,16000,15400,0.9985,0.9992,0
sift,0.5,P2-signal@0.030,18000,17190,0.999,0.9992,0
sift,0.5,P2-signal@0.030,20000,19002,0.9985,0.9989,0
sift,0.5,P2-signal@0.030,22000,20818,0.999,0.999,0
sift,0.5,P2-signal@0.030,24000,22624,0.9985,0.9988,0
sift,0.5,P2-signal@0.030,26000,24450,0.998,0.9988,0
sift,0.5,P2-signal@0.030,28000,26218,0.999,0.9987,0
sift,0.5,P2-signal@0.030,30000,28046,0.999,0.9987,0
sift,0.5,P2-signal@0.030,32000,26394,0.9985,0.9988,0
sift,0.5,P2-signal@0.030,34000,24812,0.9975,0.9988,0
sift,0.5,P2-signal@0.030,36000,23196,0.998,0.9985,0
sift,0.5,P2-signal@0.030,38000,21586,0.9975,0.9986,0
sift,0.5,P2-signal@0.030,40000,20022,0.997,0.9991,0
sift,0.5,P2-signal@0.030,42000,18366,0.9975,0.999,0
sift,0.5,P2-signal@0.030,44000,16742,0.998,0.9989,0
sift,0.5,P2-signal@0.030,46000,15150,0.9975,0.9987,0
sift,0.5,P2-signal@0.030,48000,13538,0.997,0.9986,0
sift,0.5,P2-signal@0.030,50000,11970,0.9975,0.9976,0
sift,0.5,P2-signal@0.030,52000,13760,0.9975,0.9976,0
sift,0.5,P2-signal@0.030,54000,15570,0.9975,0.9977,0
sift,0.5,P2-signal@0.030,56000,17372,0.998,0.9976,0
sift,0.5,P2-signal@0.030,58000,19166,0.9975,0.9975,0
sift,0.5,P2-signal@0.030,60000,20976,0.997,0.9971,0
sift,0.5,P2-signal@0.030,62000,22768,0.997,0.9972,0
sift,0.5,P2-signal@0.030,64000,24602,0.997,0.9974,0
sift,0.5,P2-signal@0.030,66000,26408,0.9965,0.9976,0
sift,0.5,P2-signal@0.030,68000,28226,0.999,0.9978,0
sift,0.5,P2-signal@0.030,70000,30034,0.9985,0.9974,0
sift,0.5,P2-signal@0.030,72000,28444,0.9985,0.9972,0
sift,0.5,P2-signal@0.030,74000,26842,0.998,0.9971,0
sift,0.5,P2-signal@0.030,76000,25246,0.9985,0.9972,0
sift,0.5,P2-signal@0.030,78000,23634,0.998,0.997,0
sift,0.5,P2-signal@0.030,80000,22034,0.9985,0.9969,0
sift,0.5,P2-signal@0.030,82000,20436,0.9975,0.9965,0
sift,0.5,P2-signal@0.030,84000,18816,0.9985,0.9965,0
sift,0.5,P2-signal@0.030,86000,17252,0.997,0.9954,0
sift,0.5,P2-signal@0.030,88000,15606,0.996,0.9949,0
sift,0.5,P2-signal@0.030,90000,13984,0.9935,0.9928,0
sift,0.5,P2-signal@0.030,92000,15770,0.9945,0.9948,0
sift,0.5,P2-signal@0.030,94000,17572,0.9925,0.9949,0
sift,0.5,P2-signal@0.030,96000,19394,0.9925,0.9951,0
sift,0.5,P2-signal@0.030,98000,21204,0.9965,0.9956,0
sift,0.5,P2-signal@0.030,100000,20000,0.995,0.9951,0
sift,0.5,P2-signal@0.030,102000,18000,0.9955,0.9946,0
sift,0.5,P2-signal@0.030,104000,16000,0.993,0.9932,0
sift,0.5,P2-signal@0.030,106000,14000,0.9845,0.9885,0
sift,0.5,P2-signal@0.030,108000,12000,0.9685,0.9721,0
sift,0.5,P2-signal@0.030,110000,10000,0.92,0.9255,1
